Sample Name,Cluster
TCGA-BH-A0BQ-01,1
TCGA-BH-A0W7-01,1
TCGA-BH-A0HA-01,1
TCGA-E2-A1II-01,0
TCGA-AR-A24S-01,0
TCGA-D8-A1XA-01,1
TCGA-E2-A1IJ-01,1
TCGA-A7-A0DC-01,1
TCGA-E9-A22B-01,1
TCGA-A1-A0SE-01,1
TCGA-E9-A229-01,1
TCGA-E2-A14Z-01,1
TCGA-E2-A1IU-01,1
TCGA-E2-A106-01,1
TCGA-E2-A14S-01,1
TCGA-D8-A1JP-01,1
TCGA-BH-A0HW-01,1
TCGA-BH-A0BW-01,0
TCGA-E9-A1R5-01,1
TCGA-D8-A1JS-01,1
TCGA-AR-A1AJ-01,0
TCGA-A2-A0EU-01,1
TCGA-AR-A24P-01,1
TCGA-BH-A0WA-01,0
TCGA-AO-A0J2-01,0
TCGA-BH-A18P-01,1
TCGA-E2-A1IF-01,1
TCGA-E9-A247-01,1
TCGA-D8-A27E-01,1
TCGA-E2-A15C-01,1
TCGA-EW-A1PF-01,1
TCGA-B6-A0RU-01,0
TCGA-D8-A13Y-01,1
TCGA-E2-A1LS-01,0
TCGA-BH-A1FG-01,1
TCGA-BH-A0BR-01,1
TCGA-A2-A0EO-01,1
TCGA-AR-A1AY-01,0
TCGA-AN-A0FF-01,1
TCGA-E2-A15O-01,1
TCGA-AR-A255-01,1
TCGA-A2-A0YI-01,1
TCGA-D8-A1J9-01,1
TCGA-AR-A1AX-01,1
TCGA-AR-A1AP-01,1
TCGA-BH-A18H-01,1
TCGA-BH-A0HU-01,1
TCGA-AN-A0FS-01,1
TCGA-EW-A1J6-01,1
TCGA-BH-A0BP-01,1
TCGA-D8-A1XU-01,1
TCGA-A2-A04R-01,1
TCGA-E2-A1LH-01,0
TCGA-B6-A1KI-01,1
TCGA-A1-A0SB-01,0
TCGA-BH-A0H5-01,1
TCGA-BH-A0BG-01,0
TCGA-BH-A1FD-01,1
TCGA-A2-A0CQ-01,1
TCGA-BH-A18K-01,1
TCGA-BH-A0E6-01,0
TCGA-BH-A0H6-01,1
TCGA-BH-A0HF-01,1
TCGA-A2-A0SX-01,0
TCGA-B6-A0X0-01,1
TCGA-BH-A18R-01,1
TCGA-AO-A0J4-01,0
TCGA-EW-A1J3-01,1
TCGA-AN-A0FN-01,1
TCGA-A2-A0T3-01,1
TCGA-B6-A0RN-01,1
TCGA-E2-A156-01,1
TCGA-BH-A0B0-01,1
TCGA-A2-A0YF-01,1
TCGA-B6-A0IP-01,1
TCGA-E2-A154-01,1
TCGA-AO-A03V-01,1
TCGA-AR-A24N-01,1
TCGA-D8-A1JH-01,1
TCGA-E2-A1BC-01,1
TCGA-D8-A1XK-01,0
TCGA-BH-A0B8-01,1
TCGA-BH-A0EB-01,1
TCGA-BH-A18S-01,1
TCGA-BH-A0H3-01,1
TCGA-A7-A26F-01,0
TCGA-E9-A1R4-01,1
TCGA-A8-A06O-01,1
TCGA-A2-A04N-01,1
TCGA-A2-A0EM-01,1
TCGA-BH-A0HB-01,1
TCGA-E2-A15P-01,1
TCGA-A2-A0EV-01,1
TCGA-D8-A1XM-01,1
TCGA-BH-A0B2-01,1
TCGA-BH-A0BO-01,1
TCGA-E2-A1IO-01,1
TCGA-BH-A1FU-01,0
TCGA-A8-A095-01,1
TCGA-A2-A259-01,1
TCGA-A7-A0CD-01,1
TCGA-E2-A1IN-01,1
TCGA-E2-A1IH-01,1
TCGA-C8-A12U-01,1
TCGA-BH-A0AV-01,0
TCGA-EW-A1IY-01,1
TCGA-A2-A0D3-01,1
TCGA-E2-A152-01,1
TCGA-BH-A1EU-01,1
TCGA-AR-A1AK-01,1
TCGA-B6-A0I2-01,0
TCGA-AO-A03M-01,1
TCGA-BH-A0DX-01,1
TCGA-AO-A03U-01,0
TCGA-BH-A0H0-01,1
TCGA-A2-A0ER-01,1
TCGA-A8-A0AD-01,1
TCGA-BH-A0HI-01,1
TCGA-BH-A0C3-01,1
TCGA-E2-A15J-01,1
TCGA-AN-A0FY-01,1
TCGA-A2-A0CP-01,1
TCGA-AR-A252-01,1
TCGA-D8-A1JU-01,1
TCGA-BH-A0BL-01,0
TCGA-BH-A0DO-01,1
TCGA-A2-A04Q-01,0
TCGA-BH-A0HY-01,1
